dataset,dataset_label,sex,sub_key,sub_label,age_key,age_label,disclosure_min_n,n_initial,n_final,n_removed,issue_type,from_axis,to_axis,from_state,to_state,cell_n,n_minors,n_adults,pct_minors,contains_minors
all,All,All,all,All SUD,all,All ages,5,89044,89044,0,flow,index,post1,SUD2+_F2+,SUD2+_F0,5,0,5,0,FALSE
all,All,All,all,All SUD,18-25,18-25,5,65952,65952,0,flow,index,post1,SUD2+_F2+,SUD1_F0,8,0,8,0,FALSE
all,All,All,all,All SUD,18-25,18-25,5,65952,65952,0,flow,index,post1,SUD2+_F2+,SUD2+_F0,5,0,5,0,FALSE
all,All,All,all,All SUD,18-25,18-25,5,65952,65952,0,flow,post1,post2,SUD0_F2+,SUD2+_F0,9,0,9,0,FALSE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,index,post1,SUD2+_F2+,SUD1_F1,7,2,5,28.6,TRUE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,index,post1,SUD2+_F2+,SUD2+_F1,5,1,4,20,TRUE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,post1,post2,SUD0_F2+,SUD2+_F0,5,2,3,40,TRUE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,post1,post2,SUD0_F2+,SUD2+_F1,8,1,7,12.5,TRUE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,post1,post2,SUD1_F2+,SUD2+_F0,7,2,5,28.6,TRUE
all,All,All,F10,F10 (Alcohol),all,All ages,5,37220,37212,8,flow,post1,post2,SUD2+_F0,SUD1_F2+,7,3,4,42.9,TRUE
all,All,All,F10,F10 (Alcohol),18-25,18-25,5,25169,25151,18,flow,index,post1,SUD2+_F2+,SUD0_F1,8,0,8,0,FALSE
all,All,All,F10,F10 (Alcohol),18-25,18-25,5,25169,25151,18,flow,index,post1,SUD2+_F2+,SUD1_F1,5,0,5,0,FALSE
all,All,All,F10,F10 (Alcohol),18-25,18-25,5,25169,25151,18,flow,post1,post2,SUD0_F2+,SUD2+_F1,7,0,7,0,FALSE
all,All,All,F10,F10 (Alcohol),18-25,18-25,5,25169,25151,18,flow,post1,post2,SUD1_F2+,SUD2+_F0,5,0,5,0,FALSE
all,All,All,F10,F10 (Alcohol),18-25,18-25,5,25169,25151,18,flow,post1,post2,SUD2+_F0,SUD0_F2+,9,0,9,0,FALSE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,pre,index,SUD0_F2+,SUD2+_F1,8,1,7,12.5,TRUE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,index,post1,SUD1_F2+,SUD0_F1,8,0,8,0,FALSE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,index,post1,SUD2+_F0,SUD0_F2+,5,1,4,20,TRUE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,index,post1,SUD2+_F1,SUD0_F1,8,1,7,12.5,TRUE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,index,post1,SUD2+_F1,SUD0_F2+,6,0,6,0,FALSE
all,All,All,F11,F11 (Opioids),all,All ages,5,3632,3567,65,flow,index,post1,SUD2+_F1,SUD1_F0,8,1,7,12.5,TRUE
